idx,raw_log_prediction,raw_log_confidence,raw_knn_prediction,raw_knn_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Alabama,0,0.5033165828877086,0,0.5454545454545454,0,0.5036409234423368,0,0.5109236755199049,1,0.5154341864063772,1,0.5,0,0.5024381577968597,0,0.5104655061675338,0,0.5085130908236674,0,0.509489298498507
2017-11-10Arizona,0,0.5097544639665021,1,0.5454545454545454,0,0.5084160933768831,0,0.5188749621245159,0,0.5071749168642637,0,0.5136094400162831,0,0.5057428181171417,1,0.5004688027235329,0,0.5013391031918334,0,0.500435150281979
2017-11-10Arizona_St,0,0.5174747173637766,0,0.625,0,0.510506223036215,1,0.5092384360212011,1,0.5279316375648905,0,0.5092349260674098,0,0.5358563661575317,0,0.5327904490379063,0,0.5260365158200897,0,0.5294134824356619
2017-11-10Ark_Pine_Bl,0,0.5103546112814176,1,0.5795454545454546,0,0.5141369248261161,0,0.5092292448091682,0,0.5005693854220724,1,0.5,0,0.5223595499992371,1,0.5058228865689531,1,0.5052968271404576,1,0.5055598568600181
2017-11-10Arkansas,0,0.5014486002756943,0,0.5340909090909091,1,0.5057905771023171,1,0.5015733236148882,1,0.5287458712670028,1,0.5,1,0.5269272923469543,1,0.5014461098528499,1,0.5025169820746996,1,0.5019815459589246
2017-11-10Arkansas_St,0,0.5098774819927386,0,0.5454545454545454,1,0.5071778319675136,0,0.511488672738196,0,0.5197533757084529,1,0.5,1,0.514665961265564,0,0.509791279409185,0,0.5102556167531437,0,0.5100234480840354
2017-11-10Austin_Peay,0,0.5146612742464894,1,0.5113636363636364,1,0.5044021314555177,0,0.5206140876540434,0,0.5611790958403258,1,0.5,0,0.5001175105571747,0,0.5073436620750336,0,0.510565213511221,0,0.5089544377904475
2017-11-10Ball_State,0,0.5117824117207214,1,0.5454545454545454,0,0.5053665888542025,1,0.518328705442662,0,0.5139193761559177,1,0.5,1,0.5023207664489746,1,0.507265009980677,1,0.5062988343869902,1,0.5067819221863654
2017-11-10Belmont,0,0.5192556879850896,0,0.5454545454545454,0,0.5044022068543961,0,0.5277045166727294,0,0.5227849607150148,0,0.507701987898442,0,0.5271763801574707,0,0.5238771427383537,0,0.5227452466649571,0,0.5233111947025578
2017-11-10Bowling_Grn,0,0.512788776385231,1,0.5681818181818182,1,0.510638683471913,1,0.5190727355217631,0,0.5099820512038878,1,0.5,0,0.5172272026538849,1,0.5106061746303635,1,0.5101505099160933,1,0.5103783422768265
2017-11-10CS_Fullerton,0,0.5109966210045871,1,0.5340909090909091,1,0.5181296198331592,0,0.5088925870514168,0,0.5230863830875796,1,0.5,0,0.5002945065498352,1,0.504138501265893,1,0.5022980663955883,1,0.5032182838321578
2017-11-10California,1,0.5072159871128052,1,0.5681818181818182,1,0.5038723956886321,0,0.5013760106353919,1,0.5446675698974679,1,0.5,1,0.50807124376297,1,0.5197712517542529,1,0.5196297607758914,1,0.5197005062660115
